Location name,Amount spent (BRL)
Acre (state),618
Alagoas,2451
Amapá,637
Amazonas,4450
Bahia,11116
Ceará,9292
Espírito Santo,3899
Federal District,2810
Goiás,6855
Maranhão,4423
Mato Grosso,3887
Mato Grosso do Sul,2283
Minas Gerais,26001
Paraná,8113
Paraíba,3458
Pará,5456
Pernambuco,11079
Piauí,2762
Rio Grande do Norte,3282
Rio Grande do Sul,8866
Rio de Janeiro (state),16852
Rondônia,1519
Roraima,1107
Santa Catarina,6897
Sergipe,1784
São Paulo (state),41232
Tocantins,1363
Unknown,≤100
