Location name,Amount spent (INR)
Andaman and Nicobar Islands,789
Andhra Pradesh,37814
Arunachal Pradesh,1409
Assam,11294
Bihar,35873
Chandigarh,2000
Chhattisgarh,16309
Dadra and Nagar Haveli,652
Delhi,37086
Goa,5131
Gujarat,42163
Haryana,33396
Himachal Pradesh,11902
Jammu and Kashmir,9786
Jharkhand,12529
Karnataka,198358
Kerala,11314
Lakshadweep,≤100
Madhya Pradesh,49524
Maharashtra,139737
Manipur,2429
Meghalaya,2055
Mizoram,320
Nagaland,1872
Odisha,12239
Puducherry,1162
Punjab region,32159
Rajasthan,157435
Sikkim,489
Tamil Nadu,24908
Telangana,59240
Tripura,1576
Unknown,≤100
Uttar Pradesh,89060
Uttarakhand,9444
West Bengal,34341
