Location name,Amount spent (GTQ)
Alta Verapaz Department,2514
Baja Verapaz Department,1015
Chimaltenango Department,3539
Chiquimula Department,1775
El Progreso Department,1057
Escuintla Department,5399
Guatemala Department,53214
Huehuetenango Department,4017
Izabal Department,2619
Jalapa Department,1526
Jutiapa Department,2819
Petén Department,2170
Quetzaltenango Department,6867
Quiché Department,2513
Retalhuleu Department,1880
Sacatepéquez Department,3651
San Marcos Department,8173
Santa Rosa Department,1531
Sololá Department,2413
Suchitepéquez Department,2827
Totonicapán Department,1819
Unknown,≤100
Zacapa Department,1034
