Location name,Amount spent (AUD)
Australian Capital Territory,1180
Jervis Bay Territory,≤100
New South Wales,19769
Norfolk Island,≤100
Northern Territory,526
Queensland,13415
South Australia,4334
Tasmania,2029
Unknown,≤100
Victoria,23785
Western Australia,7109
