Location name,Amount spent (CHF)
Aargau,323
Appenzell Ausserrhoden,≤100
Appenzell Innerrhoden,≤100
Basel-City,173
Basel-Landschaft,≤100
Bern,308
Canton of Geneva,1520
Canton of Glarus,≤100
Canton of Nidwalden,≤100
Canton of Obwalden,≤100
Canton of St. Gallen,412
Fribourg,108
Graubünden,≤100
Jura,≤100
Luzern,289
Neuchâtel,≤100
Schaffhausen,≤100
Schwyz,≤100
Solothurn,≤100
Thurgau,≤100
Ticino,140
Unknown,≤100
Uri,≤100
Valais,132
Vaud,295
Zug,≤100
Zürich,616
