Location name,Amount spent (PYG)
Alto Paraguay Department,3235
Alto Paraná Department,503743
Amambay Department,25459
Asunción,598522
Boquerón department,14012
Caaguazú Department,254165
Caazapá Department,32180
Canindeyú Department,38998
Central Department,1157119
Concepción Department (Paraguay),45693
Cordillera Department,74524
Guairá Department,57446
Itapúa Department,151418
Misiones Department,38996
Paraguarí Department,51601
Presidente Hayes Department,19150
San Pedro Department,61016
Unknown,110
Ñeembucú Department,23394
