Location name,Amount spent (TWD)
Changhua,10916
Chiayi,2060
Hsinchu,4742
Hsinchu City,7672
Hualien,4655
Kaohsiung,34930
Keelung City,5668
Kinmen,596
Lienchiang,≤100
Miaoli,4283
Nantou,11964
New Taipei City,58403
Penghu,866
Pingtung,6244
Taichung,39263
Tainan,21542
Taipei,49497
Taitung,2059
Taoyuan City,36107
Unknown,3643
Yilan,3842
Yunlin,7232
