Location name,Amount spent (GTQ)
Alta Verapaz Department,169
Baja Verapaz Department,≤100
Chimaltenango Department,179
Chiquimula Department,112
El Progreso Department,≤100
Escuintla Department,193
Guatemala Department,5960
Huehuetenango Department,175
Izabal Department,126
Jalapa Department,≤100
Jutiapa Department,≤100
Petén Department,≤100
Quetzaltenango Department,259
Quiché Department,163
Retalhuleu Department,130
Sacatepéquez Department,316
San Marcos Department,491
Santa Rosa Department,≤100
Sololá Department,200
Suchitepéquez Department,582
Totonicapán Department,≤100
Unknown,≤100
Zacapa Department,≤100
