Location name,Amount spent (IDR)
Aceh,1043608
Bali,2552666
Bangka–Belitung Islands,570292
Banten,4016820
Bengkulu,911965
Central Java,18270354
Central Kalimantan,1081538
Central Sulawesi,1201443
East Java,19538580
East Kalimantan,2190131
East Nusa Tenggara,1710151
Gorontalo,1025476
Jakarta,22885921
Jambi,1365259
Lampung,2776931
Maluku,671585
North Kalimantan,467755
North Maluku,542484
North Sulawesi,3059267
North Sumatra,5238154
Papua (province),1021754
Riau,2687930
Riau Islands Province,1259706
South Kalimantan,1900921
South Sulawesi,5117708
South Sumatra,2771680
Southeast Sulawesi,976732
Special Region of Yogyakarta,1507229
Unknown,20258
West Java,15342586
West Kalimantan,1958036
West Nusa Tenggara,1911911
West Papua,467134
West Sulawesi,571704
West Sumatra,1770450
