Location name,Amount spent (USD)
Ashanti Region,≤100
Brong-Ahafo Region,≤100
Central Region,≤100
Eastern Region,≤100
Greater Accra Region,≤100
Northern Region,≤100
Unknown,≤100
Upper East Region,≤100
Upper West Region,≤100
Volta Region,≤100
