Location name,Amount spent (COP)
Amazonas,12547
Antioquia,2366403
Arauca,13876
Atlantico,304093
Bolivar,184403
Boyaca,54994
Caldas,130870
Caqueta,40671
Casanare,27143
Cauca,235831
Cesar,69528
Choco,14876
Cordoba,90484
Cundinamarca,260398
Distrito Especial,6165561
Guainia,725
Guaviare,3216
Huila,208553
La Guajira,83354
Magdalena,119986
Meta,165924
Narino,70366
Norte de Santander,150072
Putumayo,31557
Quindio,141949
Risaralda,371121
San Andres y Providencia,4687
Santander,230378
Sucre,64797
Tolima,172367
Unknown,≤100
Valle del Cauca,3350023
Vaupes,564
Vichada,1713
