Location name,Amount spent (EGP)
Al Sharqia Governorate,1154
Alexandria Governorate,901
Aswan Governorate,135
Asyut Governorate,278
Beheira Governorate,523
Beni Suef Governorate,163
Cairo Governorate,1970
Dakahlia Governorate,1066
Damietta Governorate,186
Faiyum Governorate,150
Gharbia Governorate,969
Giza Governorate,550
Ismailia Governorate,284
Kafr el-Sheikh Governorate,412
Luxor Governorate,102
Matrouh Governorate,≤100
Minya Governorate,309
Monufia Governorate,547
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,140
Qalyubia Governorate,428
Qena Governorate,256
Red Sea Governorate,≤100
Sohag Governorate,303
South Sinai Governorate,≤100
Suez Governorate,≤100
Unknown,≤100
