Location name,Amount spent (CAD)
Alberta,11017
British Columbia,10864
Manitoba,3284
New Brunswick,1495
Newfoundland and Labrador,683
Northwest Territories,≤100
Nova Scotia,1464
Nunavut,≤100
Ontario,24938
Prince Edward Island,222
Quebec,13445
Saskatchewan,1873
Unknown,≤100
Yukon,134
