Location name,Amount spent (LBP)
Beirut Governorate,2956018
Beqaa Governorate,888078
Mount Lebanon Governorate,1624210
Nabatieh Governorate,369709
North Governorate,1347043
South Governorate,581661
Unknown,≤100
