Page ID,Page name,Disclaimer,Amount spent (RON),Number of ads in Library
100658152065911,Kelemen Attila,Kelemen Attila RMDSZ,≤100,1
618984848617430,Ioan Popa,Ioan Popa,≤100,1
102253747978662,Litera Educațional,These ads ran without a disclaimer,≤100,1
111190480252428,Radu Molnar,Radu Molnar,≤100,7
108920964600195,Sebastian Suciu,Media Stream SRL,≤100,2
104665084492158,Cristian Apostol,Cristian Apostol,≤100,1
162507013765047,Editura Spandugino,SC EDITURA SPANDUGINO SRL,≤100,1
1876727935882404,Bogdan Bola,Bogdan Bola,≤100,1
104477911460614,Adrian Giurgiu,Adrian Giurgiu,≤100,1
100652609752169,Proiect PROeducatie,Webshake SRL,≤100,3
1853883391581340,Gazeta de Buhusi,Gazeta de Buhusi,≤100,3
1469610256621123,PNL Dambovita,PNL Dambovita,≤100,2
582383301927573,Mihai Cristian Apostolache,Mihai Cristian Apostolache,≤100,1
1656475137918717,USR Sector 6,Uniunea Salvati Romania Filiala Sector 6,≤100,1
225783874101141,Institutul pentru Politici Sociale,Institutul pentru Politici Sociale,≤100,4
647907398718329,USR Turda,USR PLUS Cluj,≤100,1
104740995380818,Forța Dreptei Iași,Romanii trebuie sa stie,≤100,8
509479962851716,Alexandru Kocsis,Romanii trebuie sa stie,≤100,2
600025356762034,Carina Pflege Locuri de munca Germania,Olimpia Schugar,≤100,2
1046576302107963,Ciprian Serban,Ciprian Serban,≤100,1
100154552860227,Alina Sperlea,Alina Sperlea,≤100,2
1167483569966107,Primăria Municipiului Satu Mare / Szatmárnémeti,Primăria Municipiului Satu Mare / Szatmárnémeti,≤100,2
111683464064929,Sergiu Mihalcea,Sergiu Mihalcea,≤100,3
101017605136880,Dragoş Popescu,Cabinet Parlamentar,≤100,1
106010387931066,Dumitru Viorel Focșa,Dumitru Viorel Focșa,≤100,1
110907250415580,Cristian Simoiu,Cristian Simoiu,≤100,2
106413034496140,Gavra Bogdănel Viorel - vocea cetățenilor,Gavra Bogdănel Viorel - vocea cetățenilor,≤100,2
821269587938298,Alina Gorghiu,Alina Gorghiu,≤100,1
502514186907494,Apa Noastră,Apa Noastră,≤100,1
100491781650498,Premierul Nostru,Premierul Nostru,≤100,2
108723169291363,Daniel Suciu,Partidul Social Democrat,≤100,2
101521905891035,Lucian Alba,Lucian Alba,≤100,1
1790762164534311,Deputat PSD Silviu Macovei,Deputat PSD Silviu Macovei,≤100,1
102410783138358,Anuntul Telefonic,Anuntul Telefonic SRL,≤100,2
106086271013479,Marius Dulce,Dulce Marius Grigore,≤100,2
1161590740517881,Tomis News,Tomis News,≤100,4
1653726584879481,Mihai Fifor,Fifor Mihai,≤100,2
103978902677253,Anonymous Piatra Neamt,Anonymous Piatra Neamt,≤100,1
113059893868435,Adrian Tudor - Primar Târgu Jiu,Adrian Tudor - Primar Târgu Jiu,≤100,2
474481680018003,Bogdan Toader,PSD Prahova,≤100,1
779335275738093,Podul,Podul,≤100,2
136440113400763,Bogdan Rodeanu,Bogdan Rodeanu,≤100,1
534600123356631,Clubul de Șah Gambit Huși,Clubul de Șah Gambit Huși,≤100,1
110408925353021,United in Action,United in Action,≤100,1
174794259264098,FDP - Protagoniști în educație,Asociația FDP - Protagoniști în Educație,≤100,4
103742842531634,Agentiadeinformatii.ro,AgentiadeInformatii.ro,≤100,3
