Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,530
Cerro Largo Department,≤100
Colonia Department,1131
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,348
Montevideo Department,3762
Paysandú Department,2487
Rivera Department,551
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,219
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,≤100
Treinta y Tres Department,≤100
Unknown,≤100
