Page ID,Page name,Disclaimer,Amount spent (IDR),Number of ads in Library
320858334728047,Partai Solidaritas Indonesia,Partai Solidaritas Indonesia,18315766,22
101350709331663,G24News.tv,Yayasan Golkar Institut SPKP,15171191,240
23383061178,Prabowo Subianto,indonesia Adil makmur,13215145,8
1357693677594211,A Muhaimin Iskandar,Kebangkitan Bangsa,1989669,4
143840239716746,Indozone.id,PT. INDOZONE MEDIA INDONESIA,1015486,16
120493494629294,Pikiran Rakyat,"Aditya Riantiko Akbar, ST",737333,3
292939164731691,Relawan Herviano,Relawan Herviano,489382,16
1419236281714929,Andrei Angouw,Bryan Sumilat,449879,2
101679818973699,Sahabat Ganjar Pranowo,John Kamnahas,400035,21
112376825007045,Dewi Juliani 2024,Dewi Juliani 2024,358515,18
107314345341621,Zakiyuddin Harahap,Zakiyuddin harahap,358322,18
642603442612516,Muktar Efendi Harahap,Muktar efendi harahap,357958,18
101674375744514,Media Cuan,Ipta Apipah,334965,12
397612604060624,ilham mendrofa,ilham mendrofa,331516,2
103581752405141,Sobar Harahap,Sobar Harahap,313903,27
335546226915564,Generasi Melek Politik,Generasi Melek Politik,266872,1
100649018546817,GanjarFans,These ads ran without a disclaimer,231050,2
101760624522103,DPP Banteng Muda Indonesia,Farid Wahyudi,223170,17
104844282389488,Kelas Digital Marketing,Kelas Digital Marketing,218304,5
110314634068233,Fadilah Bisnis,Fadilah Bisnis,216611,5
193237974052689,Partai Keadilan Sejahtera,Partai Keadilan Sejahtera,209223,1
1408188616062841,Sofitel Bali Nusa Dua,Sofitel Bali Nusa Dua Beach Resort,200961,2
197545083607941,Harian Kompas,Harian Kompas,196219,63
104054595928021,Bakti Untuk Rakyat,Bakti Untuk Rakyat,191637,2
101041975397915,Indonesia Satu,Bayu Wicaksono,185068,10
109080054719110,Jakarta Trend,Bayu Wicaksono,185064,10
103013484811323,Jangan Lupa Sejarah,John Kamnahas,173100,9
39253583478,PDI Perjuangan,Muhammad Miftakhunnaim,168300,10
273454719936085,"Yohanis Fransiskus Lema, S.IP, M.Si","Yohanis Fransiskus Lema, S.IP, M.Si",151800,2
104529685103842,Fraksi Gerindra DPRD Jawa Barat,Andre Lukman,134851,5
314205292747611,Sahabat Abraham Liyanto,Yesenia Irene Liyanto,106796,1
101403669397488,Nikmatul Sugiyarto,Juniar Dwi Harianto,106176,11
110952238516382,Kiki Daliyo,Juniar Dwi Harianto,105850,12
108511588277325,Galeria Konveksi,Solehudin,105626,1
129857820367957,Global Finance Magazine,These ads ran without a disclaimer,104772,1
114501618289319,Cuan dari Jualan Template,These ads ran without a disclaimer,97942,6
106647992173984,Andi Dian Putra,Horas Kasih Sirait,97753,1
109369835215249,Goodkind Indonesia,Bangun Indonesia Baik PT,94400,2
104899195891472,Berita Ganjar Pranowo,Ganjar Nusantara Indonesia,91665,12
110865154735990,Koran Harian Tanah Air,Muhammad Miftakhunnaim,89562,14
101601538648991,Gerindra Lampung Official,"Asroni Paslah, S.Pd",87651,1
258766034712136,Sabam Rajagukguk,Marenda Deni Pradana,87202,1
147555216186069,Christina Aryani,Christina Aryani Foundation,84709,1
100676262667808,Story Nusantara,Bayu Wicaksono,81958,10
102656349157647,Tugimanisme,Tugimanisme,81624,12
108676115131939,Nusantara Cerdas,Bayu Wicaksono,79323,10
110056788323890,Pikiran Indonesia,Bayu Wicaksono,79155,10
173996829810061,Ryan F. Kono,"Ryan Fahrichsan Kono, B.Com",78656,3
103584384805755,Soloraya Terkini,Bayu Wicaksono,78497,10
107318141100190,Semarang Raya Terkini,Bayu Wicaksono,78368,10
113058461386521,Mercusuar Indonesia,Bayu Wicaksono,76730,10
100246718451350,Pekalongan Raya ID,Bayu Wicaksono,75999,10
100147872667354,Kata Nusantara,Bayu Wicaksono,75743,10
105195635486519,Klise Nusantara,Bayu Wicaksono,75677,10
114460673670696,Pati Raya ID,Bayu Wicaksono,74614,10
101355948222111,Golkar Indonesia,Golkar Indonesia,71171,5
101866128977837,Belajar Pemilu,Muhammad Basir,69036,3
1716437738583378,Banten Dukung Ganjar,Ganjar Nusantara Indonesia,66977,1
106287625764574,Teman Dito,Barry Eko Lesmana,64477,1
173776079818775,Saiful Mujani,Saidiman,63583,2
92211844395,Suara Merdeka Network,Youlanda,60773,1
312490859193724,mensbatik,Bayu Setayudha,50953,5
127232094369851,Sayed Abubakar A. Assegaf - Fanspage,Sayed Abu Bakar Abdullah,49597,2
371274723582677,Cak Salam,Ranudirjo Adi,46868,2
678421075696415,Giring Ganesha,Partai Solidaritas Indonesia,45821,1
113307277699173,Info Kebumen Ngapak,Bayu Wicaksono,43128,10
107565455160464,Indonesia Opini,Bayu Wicaksono,42012,10
110368964786452,Kemajuan Bersama,Muhammad Miftakhunnaim,41396,4
108971878372258,ILHAM AKBAR,Konsultan Strategi Pemenangan Politik,40854,2
101338198587608,Indonesia Luar Biasa,Bayu Wicaksono,40604,10
101801699177654,Muhamad Sodikin,Saepujaman,40194,2
104799384898162,Indonesia Berkabar,Bayu Wicaksono,39966,10
102114435036822,Filosofi Jatim,Bayu Wicaksono,39220,10
107201140790723,CHD,These ads ran without a disclaimer,38213,1
526765274016858,DPD Gerindra Gorontalo,Elnino Mohamad Husein Mohi,37859,1
105308715676825,Filosofi Indonesia,Bayu Wicaksono,37585,10
202555993805088,Caption,Bayu Wicaksono,35441,10
300085103441545,Lensa Edwin Pratama,Edwin Pratama Putra,34576,1
1062126860561994,B20,These ads ran without a disclaimer,32573,1
115316574870257,Pemuda Dukung Anies,Dika Haris Abdurahman,28350,2
109083348423534,Untuk Rakyat,Muhammad Miftakhunnaim,27324,5
122064391180645,Asian Development Bank Institute,These ads ran without a disclaimer,26539,1
105113684736305,StreamsGallery,These ads ran without a disclaimer,22432,1
111287201947034,Srikandi Demokrat Situbondo,Janur Ananda,22258,1
100359258525418,Pemulihan Lebih Baik,Muhammad Miftakhunnaim,21810,2
753113741702235,Tomy Andri Zulpa,Tomy Andri Zulpa,21179,3
102497641558430,Indonesia Tolak HOAX,Muhammad Miftakhunnaim,20864,2
110433734853186,Partai Buruh Exco Kab. Cirebon,Partai Buruh Exco Kab. Cirebon,20003,1
101076948451651,Masa Depan Kita,Muhammad Miftakhunnaim,20003,2
108571334357297,Melangkah Lebih Baik,Muhammad Miftakhunnaim,19846,2
104843487722931,Portal Islam id,Portal Islam ID,19636,1
110100218339060,Wahai Ibu Pertiwi,Muhammad Miftakhunnaim,19625,2
197930674140927,Gerindra Jawa Tengah,Azka Najib,19611,1
735179230603344,Rahmat Dermawan,Rahmat Dermawan,19521,1
108695584343029,Baik Untuk Kita,Muhammad Miftakhunnaim,19121,2
104563194242253,Enjoy Jateng,Bayu Wicaksono,17476,10
110750361762052,Pikiran Rakyat,Pikiran Rakyat,16000,1
100155699310558,SIAK RUMAH KITA,SIAK RUMAH KITA,15521,2
103946998591896,bimbelakses_jogja,These ads ran without a disclaimer,15107,1
138564054486639,Voilà Ai Artist,These ads ran without a disclaimer,13793,2
969638999781691,DPD PKS KOTA BATAM,PKS KOTA BATAM,13737,1
198636863575407,"Uki Kifli, M.A.",Uki Kifli,13691,2
102273039070802,Info Terkini,Muhammad Miftakhunnaim,11409,3
109635261356229,"Bornok Simanjuntak, SH, MH",Bornok Simanjuntak,10594,1
338740510222539,"Rohmat Marzuki, S.Hut - Sarjana Kehutanan Mbangun Deso",Rohmat Marzuki,9973,5
104830667806476,Melihat Indonesia,Melihat Indonesia,6915,2
109326160749798,Hamdan Fuadi Urang Gambut,Hamdan Fuadi,6754,1
110952238516382,Kiki Daliyo,Kiki Daliyo,2726,2
102415047928145,Shanghai Electric,These ads ran without a disclaimer,1869,1
112121101796090,Opini 2024,Opini 2024,1755,2
102626198026698,Rika Sudjiman,Juniar Dwi Harianto,1207,2
105046366700031,Info Yunik,These ads ran without a disclaimer,1156,1
101403669397488,Nikmatul Sugiyarto,Nikmatul Sugiyarto,881,2
116937558047898,,Dwi Wantoro,158,2
1913511968866509,Berita Wisata Indonesia,These ads ran without a disclaimer,109,40
118734481202493,,Dwi Wantoro,≤100,2
104513285970973,,Dwi Wantoro,≤100,2
635425077088293,Sahabat Pak Tengku,Ero Sukarna,≤100,1
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,1
192844937480061,The Third Pole,These ads ran without a disclaimer,≤100,1
