Location name,Amount spent (EGP)
Al Sharqia Governorate,2006
Alexandria Governorate,2504
Aswan Governorate,393
Asyut Governorate,759
Beheira Governorate,1305
Beni Suef Governorate,389
Cairo Governorate,5439
Dakahlia Governorate,1550
Damietta Governorate,496
Faiyum Governorate,416
Gharbia Governorate,1424
Giza Governorate,1498
Ismailia Governorate,1162
Kafr el-Sheikh Governorate,686
Luxor Governorate,284
Matrouh Governorate,111
Minya Governorate,640
Monufia Governorate,885
New Valley Governorate,≤100
North Sinai Governorate,140
Port Said Governorate,337
Qalyubia Governorate,1017
Qena Governorate,585
Red Sea Governorate,162
Sohag Governorate,653
South Sinai Governorate,≤100
Suez Governorate,192
Unknown,≤100
