Location name,Amount spent (INR)
Andaman and Nicobar Islands,194
Andhra Pradesh,43928
Arunachal Pradesh,1005
Assam,23764
Bihar,59404
Chandigarh,1795
Chhattisgarh,12876
Dadra and Nagar Haveli,731
Delhi,39983
Goa,3667
Gujarat,47558
Haryana,45421
Himachal Pradesh,13629
Jammu and Kashmir,12406
Jharkhand,14161
Karnataka,117348
Kerala,12362
Lakshadweep,≤100
Madhya Pradesh,53500
Maharashtra,132549
Manipur,1637
Meghalaya,189343
Mizoram,708
Nagaland,42410
Odisha,14305
Puducherry,1103
Punjab region,42724
Rajasthan,119674
Sikkim,892
Tamil Nadu,34629
Telangana,60250
Tripura,167730
Unknown,≤100
Uttar Pradesh,106165
Uttarakhand,11107
West Bengal,56214
