Location name,Amount spent (THB)
Amnat Charoen,108
Ang Thong,≤100
Ayutthaya,719
Bangkok,24384
Bueng Kan,114
Buriram,415
Chachoengsao,730
Chai Nat,123
Chaiyaphum,300
Chanthaburi,230
Chiang Mai,1193
Chiang Rai,593
Chon Buri,3948
Chumphon,1053
Kalasin,287
Kamphaeng Phet,392
Kanchanaburi,422
Khon Kaen,921
Krabi,531
Lampang,316
Lamphun,168
Loei,216
Lop Buri,287
Mae Hong Son,706
Maha Sarakham,291
Mukdahan,117
Nakhon Nayok,≤100
Nakhon Pathom,1125
Nakhon Phanom,241
Nakhon Ratchasima,1089
Nakhon Sawan,1944
Nakhon Si Thammarat,5508
Nan,129
Narathiwat,219
Nong Bua Lam Phu,132
Nong Khai,164
Nonthaburi,1270
Pathum Thani,841
Pattani,550
Phangnga,299
Phatthalung,769
Phayao,235
Phetchabun,273
Phetchaburi,538
Phichit,331
Phitsanulok,3047
Phrae,167
Phuket,5079
Prachin Buri,222
Prachuap Khiri Khan,346
Ranong,129
Ratchaburi,527
Rayong,587
Roi Et,347
Sa Kaeo,164
Sakon Nakhon,348
Samut Prakan,876
Samut Sakhon,1350
Samut Songkhram,584
Saraburi,322
Satun,374
Sing Buri,≤100
Sisaket,423
Songkhla,3740
Sukhothai,601
Suphan Buri,302
Surat Thani,30720
Surin,366
Tak,298
Trang,651
Trat,≤100
Ubon Ratchathani,618
Udon Thani,503
Unknown,≤100
Uthai Thani,160
Uttaradit,187
Yala Province,210
Yasothon,191
