Location name,Amount spent (USD)
Azuay Province,868
Bolívar Province,≤100
Carchi Province,≤100
Cañar Province,150
Chimborazo Province,≤100
Cotopaxi Province,≤100
El Oro Province,423
Esmeraldas Province,226
Galápagos Province,≤100
Guayas Province,2041
Imbabura Province,126
Loja Province,159
Los Ríos Province,320
Manabí Province,881
Morona-Santiago Province,≤100
Napo Province,≤100
Orellana Province,≤100
Pastaza Province,≤100
Pichincha Province,1002
Santa Elena Province,224
Santo Domingo de los Tsáchilas Province,824
Sucumbíos Province,≤100
Tungurahua Province,157
Unknown,≤100
Zamora-Chinchipe Province,≤100
