Location name,Amount spent (SEK)
Blekinge County,3577
Dalarna County,7557
Gotland County,21837
Gävleborg County,7604
Halland County,7472
Jämtland County,4361
Jönköping County,8496
Kalmar County,5964
Kronoberg County,5308
Norrbotten County,6559
Skåne County,32374
Stockholm County,63471
Södermanland County,7810
Unknown,≤100
Uppsala County,10152
Värmland County,6475
Västerbotten County,7172
Västernorrland County,5782
Västmanland County,6457
Västra Götaland County,43692
Örebro County,7867
Östergötland County,10680
