Location name,Amount spent (AUD)
Australian Capital Territory,1044
Jervis Bay Territory,≤100
New South Wales,14322
Northern Territory,406
Queensland,13084
South Australia,4500
Tasmania,3066
Unknown,≤100
Victoria,13688
Western Australia,8017
