Page ID,Page name,Disclaimer,Amount spent (SGD),Number of ads in Library
453961014813944,UOB,UOB,293,4
168071043252655,Pro Enterprise Panel - PEP,"Pro-Enterprise Panel, Ministry of Trade & Industry",279,1
115161084044,World Vision Singapore,World Vision Singapore,202,11
219541704832846,National Reading Movement,National Reading Movement,170,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,148,2
98511430597,CNB Drug Free SG,CNB Drug Free SG,147,1
147322899276238,Schroders Singapore,Schroder Investment Management (S) Ltd,≤100,1
1531909430459040,Schneider Electric,Schneider Electric,≤100,4
104658058811584,Terra 2236,Terra 2236,≤100,2
467260466759436,Global Ehsan Relief,Global Ehsan Relief,≤100,8
836689413097228,Our Grandfather Story,Our Grandfather Story,≤100,1
219808688070361,Ministry of Sustainability and the Environment,Ministry of Sustainability and the Environment,≤100,3
2052922968263010,96.3好FM,Nur Ashiqin Binti Jaffar,≤100,3
442714999084704,Kiss92,Nur Ashiqin Binti Jaffar,≤100,1
1671514566466943,Singapore Ministry of Foreign Affairs,These ads ran without a disclaimer,≤100,1
136982159795537,Institute of Policy Studies - IPS,Institute of Policy Studies,≤100,1
1468082613467781,Nee Soon Town Council,Nee Soon Town Council,≤100,7
1389010631425852,World Scientific Singapore,World Scientific Publishing Co. Pte Ltd,≤100,7
126996258015076,Global Ehsan Relief Singapore,Global Ehsan Relief Singapore,≤100,3
166565800052060,ConnexionSG,Nexus,≤100,1
1780013892318908,"School of Humanities, NTU Singapore",NTU School of Humanities,≤100,1
699812100045380,SG Enable,SG Enable,≤100,2
343347583411734,歡樂大東家,These ads ran without a disclaimer,≤100,1
105193687974134,TWC2 Tamil,Transient Workers Count Too - TWC2,≤100,1
109364228569810,中国驻新加坡使馆教育公参韩骏,中国驻新加坡使馆教育公参韩骏,≤100,1
105640164784251,Singapore United Party,Zhu Laicheng,≤100,2
151405678864363,全民Party,These ads ran without a disclaimer,≤100,2
107642985455936,Hoàng Nam Số,These ads ran without a disclaimer,≤100,2
141604855870718,abrdn,These ads ran without a disclaimer,≤100,1
106256777922958,SEA Today News,These ads ran without a disclaimer,≤100,1
103497027790225,Fonos,These ads ran without a disclaimer,≤100,1
110849608511677,Mississippi005,These ads ran without a disclaimer,≤100,1
565225540184937,CGTN,These ads ran without a disclaimer,≤100,1
257045211013828,San Antonio Spurs Pro,These ads ran without a disclaimer,≤100,1
105396005720390,Sahabat palestin,These ads ran without a disclaimer,≤100,1
111351088478835,My Diwise - Jumo,These ads ran without a disclaimer,≤100,5
115444524830093,Wsp17,These ads ran without a disclaimer,≤100,1
111184950457867,Equity Mirror,These ads ran without a disclaimer,≤100,1
111005415285514,Omniamus,These ads ran without a disclaimer,≤100,1
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,1
208947112492576,Hong Kong Science Park,These ads ran without a disclaimer,≤100,1
