Location name,Amount spent (MXN)
Aguascalientes,12007
Baja California,23790
Baja California Sur,4684
Campeche,7536
Chiapas,14319
Chihuahua,19801
Coahuila de Zaragoza,18796
Colima,13347
Distrito Federal,82109
Durango,5388
Guanajuato,61707
Guerrero,9254
Hidalgo,10068
Jalisco,114141
Michoacán de Ocampo,24882
Morelos,10277
Nayarit,5361
Nuevo León,77870
Oaxaca,10073
Puebla,21987
Querétaro Arteaga,27190
Quintana Roo,12601
San Luis Potosi,15858
Sinaloa,13157
Sonora,17355
State of Mexico,123910
Tabasco,11360
Tamaulipas,23170
Tlaxcala,3654
Unknown,≤100
Veracruz,32719
Yucatán,30632
Zacatecas,5062
