Location name,Amount spent (PLN)
Greater Poland Voivodeship,3928
Kuyavian-Pomeranian Voivodeship,2175
Lesser Poland Voivodeship,4164
Lower Silesian Voivodeship,3154
Lublin Voivodeship,1798
Lubusz Voivodeship,1233
Masovian Voivodeship,7744
Opole Voivodeship,922
Podkarpackie Voivodeship,1643
Podlaskie Voivodeship,1059
Pomeranian Voivodeship,3321
Silesian Voivodeship,4204
Unknown,≤100
Warmian-Masurian Voivodeship,1239
West Pomeranian Voivodeship,2145
Łódź Voivodeship,2628
Świętokrzyskie Voivodeship,944
