Location name,Amount spent (GTQ)
Alta Verapaz Department,≤100
Baja Verapaz Department,≤100
Chimaltenango Department,453
Chiquimula Department,≤100
El Progreso Department,≤100
Escuintla Department,170
Guatemala Department,3317
Huehuetenango Department,≤100
Izabal Department,≤100
Jalapa Department,≤100
Jutiapa Department,≤100
Petén Department,≤100
Quetzaltenango Department,298
Quiché Department,≤100
Retalhuleu Department,≤100
Sacatepéquez Department,133
San Marcos Department,259
Santa Rosa Department,≤100
Sololá Department,131
Suchitepéquez Department,484
Totonicapán Department,≤100
Unknown,≤100
Zacapa Department,≤100
