Location name,Amount spent (INR)
Andaman and Nicobar Islands,215
Andhra Pradesh,143849
Arunachal Pradesh,1183
Assam,19353
Bihar,75704
Chandigarh,3998
Chhattisgarh,139519
Dadra and Nagar Haveli,711
Delhi,49054
Goa,3719
Gujarat,57544
Haryana,39927
Himachal Pradesh,13277
Jammu and Kashmir,7485
Jharkhand,19503
Karnataka,54000
Kerala,17205
Lakshadweep,≤100
Madhya Pradesh,258644
Maharashtra,187810
Manipur,386
Meghalaya,777
Mizoram,1843
Nagaland,658
Odisha,13098
Puducherry,499
Punjab region,33725
Rajasthan,378425
Sikkim,696
Tamil Nadu,58536
Telangana,122837
Tripura,1880
Unknown,≤100
Uttar Pradesh,118654
Uttarakhand,15298
West Bengal,43279
