Location name,Amount spent (COP)
Amazonas,927
Antioquia,7327801
Arauca,7602
Atlantico,558189
Bolivar,106491
Boyaca,135287
Caldas,111646
Caqueta,67323
Casanare,13520
Cauca,122064
Cesar,33983
Choco,18184
Cordoba,78456
Cundinamarca,290438
Distrito Especial,8390167
Guainia,1137
Guaviare,1880
Huila,184375
La Guajira,19640
Magdalena,60434
Meta,178056
Narino,79443
Norte de Santander,398205
Putumayo,206835
Quindio,47450
Risaralda,338645
San Andres y Providencia,2805
Santander,246483
Sucre,28437
Tolima,193125
Unknown,≤100
Valle del Cauca,4596216
Vaupes,429
Vichada,569
