Location name,Amount spent (TRY)
Adana Province,856
Adıyaman Province,≤100
Afyonkarahisar Province,168
Aksaray Province,195
Amasya Province,≤100
Ankara Province,1601
Antalya Province,1379
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,428
Ağrı Province,≤100
Balıkesir Province,400
Bartın Province,≤100
Batman Province,125
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,≤100
Burdur Province,≤100
Bursa Province,1037
Denizli Province,444
Diyarbakır Province,187
Düzce Province,118
Edirne Province,≤100
Elazığ Province,116
Erzincan Province,≤100
Erzurum Province,≤100
Eskişehir Province,385
Gaziantep Province,558
Giresun Province,134
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,823
Isparta Province,236
Istanbul Province,9116
Iğdır Province,≤100
Kahramanmaraş Province,224
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,386
Kilis Province,≤100
Kocaeli Province,495
Konya Province,654
Kütahya Province,130
Kırklareli Province,≤100
Kırıkkale Province,210
Kırşehir Province,109
Malatya Province,107
Manisa Province,380
Mardin Province,125
Mersin Province,650
Muğla Province,458
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,191
Osmaniye Province,149
Rize Province,104
Sakarya Province,144
Samsun Province,606
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,135
Tekirdağ Province,516
Tokat Province,120
Trabzon Province,208
Tunceli Province,≤100
Unknown,≤100
Uşak Province,119
Van Province,110
Yalova Province,≤100
Yozgat Province,111
Zonguldak Province,133
Çanakkale Province,182
Çankırı Province,≤100
Çorum Province,115
İzmir Province,3001
Şanlıurfa Province,309
Şırnak Province,≤100
