Location name,Amount spent (PKR)
Azad Kashmir,789
Balochistan,1334
Federally Administered Tribal Areas,193
Gilgit-Baltistan,304
Islamabad Capital Territory,1602
Khyber Pakhtunkhwa,6224
Punjab,44475
Sindh,9614
Unknown,≤100
