Location name,Amount spent (NZD)
Auckland Region,1816
Bay of Plenty Region,343
Canterbury,587
Gisborne District,≤100
Hawke's Bay,170
Manawatu-Wanganui,229
Marlborough Region,≤100
Nelson Province,≤100
Northland Region,182
Otago,217
Southland,≤100
Taranaki,109
Tasman District,≤100
Unknown,≤100
Waikato,464
Wellington Region,426
West Coast,≤100
