Location name,Amount spent (EUR)
Alsace,506
Aquitaine,884
Auvergne,264
Basse-Normandie,306
Bourgogne,346
Bretagne,734
Centre,617
Champagne-Ardenne,253
Corse,102
Franche-Comté,218
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,549
Languedoc-Roussillon,774
Limousin,154
Lorraine,644
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,688
New Caledonia,≤100
Nord-Pas-de-Calais,1088
Pays de la Loire,845
Picardie,397
Poitou-Charentes,390
Provence-Alpes-Côte d'Azur,1482
Reunion Island,≤100
Rhône-Alpes,1447
Unknown,≤100
Île-de-France,3005
