Page ID,Page name,Disclaimer,Amount spent (TND),Number of ads in Library
739582759448073,Rassd Tunisia - رصد التونسية,These ads ran without a disclaimer,≤100,1
100986432813176,الطاهر بن منصور المرشح للانتخابات التشريعية 2022,إيهاب بن منصور,≤100,1
114752221484681,ڨتلتونا,These ads ran without a disclaimer,≤100,1
1039675682714205,스브스뉴스,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,2
101987429444105,جرائم مهدي الشريف و حبيب السعفي,These ads ran without a disclaimer,≤100,1
109831251935707,المقداد خليل,These ads ran without a disclaimer,≤100,1
101025199482417,Kesha Keelightful Washington,These ads ran without a disclaimer,≤100,1
104015742220554,Mimic,These ads ran without a disclaimer,≤100,1
285530825204,Klitschko,These ads ran without a disclaimer,≤100,1
102570761484258,Asharq Business اقتصاد الشرق,These ads ran without a disclaimer,≤100,1
103827665475624,Immobilier Sud : عقارات الجنوب,These ads ran without a disclaimer,≤100,2
