Location name,Amount spent (COP)
Amazonas,755
Antioquia,3863086
Arauca,7252
Atlantico,543232
Bolivar,151899
Boyaca,46878
Caldas,63689
Caqueta,48111
Casanare,12725
Cauca,149674
Cesar,91198
Choco,9770
Cordoba,129306
Cundinamarca,222250
Distrito Especial,1601852
Guainia,515
Guaviare,1990
Huila,460769
La Guajira,37812
Magdalena,43141
Meta,105449
Narino,49169
Norte de Santander,65950
Putumayo,8517
Quindio,167704
Risaralda,385494
San Andres y Providencia,3071
Santander,119701
Sucre,30319
Tolima,146133
Unknown,≤100
Valle del Cauca,1550308
Vaupes,204
Vichada,475
