Location name,Amount spent (SAR)
'Asir Region,≤100
Al Jawf Region,≤100
Al Madinah Region,≤100
Al-Qassim Province,≤100
Eastern Province,≤100
Jizan Region,≤100
Makkah Region,≤100
Riyadh Region,≤100
