Location name,Amount spent (COP)
Amazonas,8737
Antioquia,8616730
Arauca,122386
Atlantico,1609543
Bolivar,1093113
Boyaca,1055513
Caldas,926011
Caqueta,338731
Casanare,417095
Cauca,712807
Cesar,554517
Choco,108539
Cordoba,1017901
Cundinamarca,1458315
Distrito Especial,8661458
Guainia,7723
Guaviare,24570
Huila,1466562
La Guajira,257125
Magdalena,545932
Meta,1013114
Narino,445975
Norte de Santander,1340115
Putumayo,542038
Quindio,291387
Risaralda,1611168
San Andres y Providencia,28762
Santander,2269894
Sucre,671574
Tolima,860688
Unknown,999
Valle del Cauca,4597396
Vaupes,1940
Vichada,4398
