Location name,Amount spent (INR)
Andaman and Nicobar Islands,252
Andhra Pradesh,69038
Arunachal Pradesh,1080
Assam,11249
Bihar,34227
Chandigarh,2563
Chhattisgarh,30177
Dadra and Nagar Haveli,1287
Delhi,52939
Goa,2916
Gujarat,48079
Haryana,33357
Himachal Pradesh,15858
Jammu and Kashmir,12604
Jharkhand,14550
Karnataka,1913481
Kerala,17291
Lakshadweep,≤100
Madhya Pradesh,83450
Maharashtra,127875
Manipur,4401
Meghalaya,2736
Mizoram,1823
Nagaland,885
Odisha,15422
Puducherry,3114
Punjab region,156254
Rajasthan,148194
Sikkim,492
Tamil Nadu,104494
Telangana,38756
Tripura,1500
Unknown,268
Uttar Pradesh,283368
Uttarakhand,12703
West Bengal,65247
