Location name,Amount spent (TND)
Ariana Governorate,246
Ben Arous Governorate,265
Bizerte Governorate,221
Béja Governorate,≤100
Gabès Governorate,170
Gafsa Governorate,133
Jendouba Governorate,≤100
Kairouan Governorate,143
Kasserine Governorate,117
Kebili Governorate,≤100
Kef Governorate,≤100
Mahdia Governorate,167
Manouba Governorate,108
Medenine Governorate,214
Monastir Governorate,355
Nabeul Governorate,318
Sfax,456
Sidi Bouzid Governorate,107
Siliana Governorate,≤100
Sousse Governorate,314
Tataouine Governorate,≤100
Tozeur Governorate,≤100
Tunis Governorate,758
Unknown,≤100
Zaghouan Governorate,≤100
