Location name,Amount spent (CLP)
Antofagasta Region,58819
Araucanía Region,108911
Arica y Parinacota Region,18898
Atacama Region,14506
Aysén Region,8436
Bío Bío Region,181114
Coquimbo Region,80077
Los Lagos Region,76678
Los Ríos Region,27947
Magallanes y la Antártica Chilena Region,12144
Maule Region,63187
O'Higgins Region,93002
Santiago Metropolitan Region,673581
Tarapacá Region,22841
Unknown,265
Valparaíso Region,153689
