Location name,Amount spent (SEK)
Blekinge County,3510
Dalarna County,6699
Gotland County,1550
Gävleborg County,7238
Halland County,6475
Jämtland County,3552
Jönköping County,7853
Kalmar County,5215
Kronoberg County,3869
Norrbotten County,5984
Skåne County,32938
Stockholm County,58888
Södermanland County,6896
Unknown,≤100
Uppsala County,10132
Värmland County,6078
Västerbotten County,6163
Västernorrland County,5757
Västmanland County,5917
Västra Götaland County,40189
Örebro County,6568
Östergötland County,9682
