Location name,Amount spent (PLN)
Greater Poland Voivodeship,5022
Kuyavian-Pomeranian Voivodeship,3694
Lesser Poland Voivodeship,6521
Lower Silesian Voivodeship,4084
Lublin Voivodeship,2227
Lubusz Voivodeship,1041
Masovian Voivodeship,9243
Opole Voivodeship,879
Podkarpackie Voivodeship,1944
Podlaskie Voivodeship,1265
Pomeranian Voivodeship,3344
Silesian Voivodeship,5007
Unknown,≤100
Warmian-Masurian Voivodeship,1401
West Pomeranian Voivodeship,2262
Łódź Voivodeship,3654
Świętokrzyskie Voivodeship,1091
