Location name,Amount spent (INR)
Andaman and Nicobar Islands,260
Andhra Pradesh,43544
Arunachal Pradesh,1424
Assam,22124
Bihar,41661
Chandigarh,2380
Chhattisgarh,61836
Dadra and Nagar Haveli,890
Delhi,47798
Goa,3026
Gujarat,54105
Haryana,39196
Himachal Pradesh,11327
Jammu and Kashmir,6762
Jharkhand,19409
Karnataka,51052
Kerala,13144
Lakshadweep,≤100
Madhya Pradesh,216505
Maharashtra,176017
Manipur,198
Meghalaya,1099
Mizoram,2190
Nagaland,1134
Odisha,17536
Puducherry,751
Punjab region,27155
Rajasthan,179028
Sikkim,1621
Tamil Nadu,59715
Telangana,82426
Tripura,2446
Unknown,≤100
Uttar Pradesh,113801
Uttarakhand,17280
West Bengal,47704
