Location name,Amount spent (COP)
Amazonas,1596
Antioquia,5465704
Arauca,75857
Atlantico,564024
Bolivar,107405
Boyaca,44703
Caldas,484050
Caqueta,64711
Casanare,156395
Cauca,243420
Cesar,62301
Choco,16265
Cordoba,145289
Cundinamarca,459574
Distrito Especial,1505831
Guainia,708
Guaviare,36018
Huila,189465
La Guajira,32273
Magdalena,321315
Meta,313584
Narino,49436
Norte de Santander,172097
Putumayo,81656
Quindio,123004
Risaralda,706236
San Andres y Providencia,133917
Santander,345118
Sucre,123286
Tolima,333148
Unknown,223
Valle del Cauca,3572542
Vaupes,233
Vichada,695
