Location name,Amount spent (EUR)
Alsace,1085
Aquitaine,1829
Auvergne,587
Basse-Normandie,709
Bourgogne,784
Bretagne,1585
Centre,1260
Champagne-Ardenne,728
Corse,245
Franche-Comté,529
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,940
Languedoc-Roussillon,1726
Limousin,351
Lorraine,1161
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1578
New Caledonia,≤100
Nord-Pas-de-Calais,1988
Pays de la Loire,1798
Picardie,887
Poitou-Charentes,892
Provence-Alpes-Côte d'Azur,3576
Reunion Island,≤100
Rhône-Alpes,3445
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,7141
