Location name,Amount spent (CLP)
Antofagasta Region,39875
Araucanía Region,101859
Arica y Parinacota Region,16144
Atacama Region,10642
Aysén Region,6148
Bío Bío Region,154718
Coquimbo Region,60061
Los Lagos Region,35838
Los Ríos Region,15134
Magallanes y la Antártica Chilena Region,8338
Maule Region,65496
O'Higgins Region,71346
Santiago Metropolitan Region,380389
Tarapacá Region,33146
Unknown,≤100
Valparaíso Region,91032
