Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
117799504920552,ΑΚΕΛ - AKEL,ΑΚΕΛ,130,48
1523797697855594,Δήμος Λεμεσού - Limassol Municipality,Limassol Municipality,≤100,13
100987019515000,Frontida,Frontida,≤100,1
2338155079796185,Ali Başman,Ali Başman,≤100,6
106262547828612,Φωτεινή Τσιρίδου - Fotini Tsiridou,Φωτεινή Τσιρίδου - Fotini Tsiridou,≤100,2
698669730577000,Ygeiawatch,Ygeiawatch,≤100,6
122074554119,EU Social,EU Social,≤100,7
197874087030899,Costas Mavrides - Κώστας Μαυρίδης,Costas Mavrides - Κώστας Μαυρίδης,≤100,1
325422097488660,Cumhuriyetçi Türk Partisi,Cumhuriyetçi Türk Partisi,≤100,7
101695305669468,İnsan Hakları Platformu - Human Rights Platform,İnsan Hakları Platformu,≤100,3
244607425634139,StockWatch Cyprus,Stockwatch,≤100,4
162863994461073,Center for Social Innovation - CSI,Center for Social Innovation - CSI,≤100,4
1644214549164677,Halkın Partisi,Halkın Partisi,≤100,6
465987706758805,Όμιλος Βιοιατρική - Χημείο Γιαννουκά & Άλφα Εύρεσις,Όμιλος Βιοιατρική - Χημείο Γιαννουκά & Άλφα Εύρεσις,≤100,6
126962546965048,Photos Photiades Breweries,Photos Photiades Brewer,≤100,1
2222575577961067,Cyprus Center for Alternative Dispute Resolution,Cyprus Center for Alternative Dispute Resolution,≤100,2
138070989548204,Νίκος Νικολαΐδης / Nicos Nicolaides,Νίκος Νικολαΐδης / Nicos Nicolaides,≤100,1
556192687867978,Χρύσανθος Σαββίδης,Χρύσανθος Σαββίδης,≤100,1
102944721782406,Γραφείο Επιτρόπου Επικοινωνιών,National CSIRT-CY,≤100,2
103717902272130,Sustainable Mobility Cyprus,Contact Advertising Agency Ltd,≤100,4
109252201264120,Κλάδος Αστυνομικού Σώματος-Ισότητα,Κλάδος Αστυνομικού Σώματος-Ισότητα,≤100,5
103705652523103,Kıbrıs Raporu,BIG BRAND | Digital Media Agency™,≤100,1
638668976238472,Cyprus Times,Cyprus Times,≤100,2
222339361195595,Ergodotisi,Ergodotisi.com,≤100,1
715275145197045,Dialogos,Dialogos,≤100,1
213335395425425,Pissis Ltd,Pissis Ltd,≤100,2
110763844019077,NewTv_Cy,NewTv_Cy,≤100,1
406404342873724,Κίνημα Οικολόγων - Συνεργασία Πολιτών,Κίνημα Οικολόγων - Συνεργασία Πολιτών,≤100,2
158714780827513,UNFPA,These ads ran without a disclaimer,≤100,3
919232861444360,European Youth Event,These ads ran without a disclaimer,≤100,1
1768619346738842,Δημοτικός Σύμβουλος Δήμου Λεμεσού Κώστας Γιάλλουρος,Δημοτικός Σύμβουλος Δήμου Λεμεσού Κώστας Γιάλλουρος,≤100,3
380431408783809,Pafos Municipality - Δημος Παφου,Pafos Municipality,≤100,2
527351247377965,European Committee of the Regions,European Committee of the Regions,≤100,3
502944236549149,Ανδρέας Αποστόλου,Ανδρέας Αποστόλου,≤100,1
166733630194637,Trojan Economics,Trojan Economics,≤100,1
528571084191138,Christiana Xenofontos,Christiana Xenofontos,≤100,1
191099214413083,Cyprus Business News,These ads ran without a disclaimer,≤100,1
351711568266274,Φικάρδου,Blend Digital,≤100,3
111471595611664,Επιστημονικό Τεχνικό Επιμελητήριο Κύπρου ΕΤΕΚ,Επιστημονικό Τεχνικό Επιμελητήριο Κύπρου ΕΤΕΚ,≤100,3
104093047863641,Ανδρέας Θεοφάνους,Ανδρέας Θεοφάνους,≤100,1
383452291760366,14ο Παγκύπριο Πολιτιστικό Φεστιβάλ Καρπουζιού - 14 Ιουλίου 2023,These ads ran without a disclaimer,≤100,1
109034142174439,S-Access,S-Access,≤100,1
788160538246073,DOM,These ads ran without a disclaimer,≤100,1
618086438391102,Taiwan in the EU and Belgium,These ads ran without a disclaimer,≤100,1
1656590977890066,IDEO U,These ads ran without a disclaimer,≤100,1
138756620064262,Fanack.com of the Middle East and North Africa,These ads ran without a disclaimer,≤100,1
131189377574,MDPI,These ads ran without a disclaimer,≤100,1
115575820139019,Af Fhyf,These ads ran without a disclaimer,≤100,1
1883003128429295,Queer Majority,These ads ran without a disclaimer,≤100,1
218798922334223,COFCO,These ads ran without a disclaimer,≤100,1
116934494636757,Nifty News,These ads ran without a disclaimer,≤100,2
2272627156357949,Newest Crowdfunding Inventions,These ads ran without a disclaimer,≤100,1
