Page ID,Page name,Disclaimer,Amount spent (HTG),Number of ads in Library
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,2
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,≤100,1
107659855588990,Dre5915-MeReading,These ads ran without a disclaimer,≤100,3
1102199946478493,Spotlight,These ads ran without a disclaimer,≤100,3
116126484753041,Dre7566-Stories,These ads ran without a disclaimer,≤100,4
108281728342774,Akhija Matthew. O,These ads ran without a disclaimer,≤100,1
102415047928145,Shanghai Electric,These ads ran without a disclaimer,≤100,1
118945884467733,Dre4628-MeReading,These ads ran without a disclaimer,≤100,4
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,1
114496691584484,Dre2644-Novels,These ads ran without a disclaimer,≤100,3
462848513792011,国家大剧院National Centre for the Performing Arts,These ads ran without a disclaimer,≤100,1
451540138213436,UNICEF Sudan,These ads ran without a disclaimer,≤100,2
888507404545826,Chanderpur Group,These ads ran without a disclaimer,≤100,1
110969788607678,Dre8655-Stories,These ads ran without a disclaimer,≤100,4
