Location name,Amount spent (MXN)
Aguascalientes,15815
Baja California,76448
Baja California Sur,13731
Campeche,29065
Chiapas,39429
Chihuahua,82517
Coahuila de Zaragoza,45288
Colima,10326
Distrito Federal,214610
Durango,13983
Guanajuato,115545
Guerrero,33619
Hidalgo,23501
Jalisco,225107
Michoacán de Ocampo,56904
Morelos,62447
Nayarit,12530
Nuevo León,157917
Oaxaca,57373
Puebla,92701
Querétaro Arteaga,63610
Quintana Roo,110486
San Luis Potosi,53197
Sinaloa,53647
Sonora,70984
State of Mexico,175393
Tabasco,21405
Tamaulipas,58298
Tlaxcala,19697
Unknown,399
Veracruz,67980
Yucatán,44433
Zacatecas,14192
