Location name,Amount spent (SEK)
Blekinge County,3176
Dalarna County,6163
Gotland County,1798
Gävleborg County,6065
Halland County,6632
Jämtland County,2887
Jönköping County,7417
Kalmar County,5248
Kronoberg County,3596
Norrbotten County,4899
Skåne County,27496
Stockholm County,57502
Södermanland County,6178
Unknown,≤100
Uppsala County,8446
Värmland County,6272
Västerbotten County,5306
Västernorrland County,4820
Västmanland County,5434
Västra Götaland County,39525
Örebro County,6763
Östergötland County,9303
