Location name,Amount spent (MYR)
Johor,919
Kedah,649
Kelantan,355
Kuala Lumpur,1046
Labuan,≤100
Malacca,222
Negeri Sembilan,350
Pahang,335
Penang,434
Perak,622
Perlis,≤100
Putrajaya,≤100
Sabah,372
Sarawak,372
Selangor,2126
Terengganu,424
Unknown,≤100
