Location name,Amount spent (LBP)
Beirut Governorate,3103312
Beqaa Governorate,1081506
Mount Lebanon Governorate,1827787
Nabatieh Governorate,477612
North Governorate,1607763
South Governorate,764783
Unknown,≤100
