Location name,Amount spent (NZD)
Auckland Region,3181
Bay of Plenty Region,619
Canterbury,1290
Cook Islands,≤100
Gisborne District,≤100
Hawke's Bay,454
Manawatu-Wanganui,558
Marlborough Region,≤100
Nelson Province,149
Niue,≤100
Northland Region,354
Otago,455
Southland,207
Taranaki,262
Tasman District,≤100
Tokelau,≤100
Unknown,≤100
Waikato,971
Wellington Region,1165
West Coast,≤100
