Location name,Amount spent (VND)
An Giang Province,90231
Bà Rịa–Vũng Tàu Province,85547
Bình Dương Province,212785
Bình Phước Province,71921
Bình Thuận Province,122181
Bình Định Province,91748
Bạc Liêu Province,38229
Bắc Giang Province,156743
Bắc Kạn Province,20160
Bắc Ninh Province,135065
Bến Tre Province,51792
Cao Bằng Province,32824
Cà Mau Province,55208
Cần Thơ,76483
Da Nang,76470
Gia Lai Province,50794
Haiphong,97197
Ho Chi Minh City,1486863
Hà Giang Province,18341
Hà Nam Province,44027
Hà Tĩnh Province,309994
Hòa Bình Province,48483
Hưng Yên Province,66712
Hải Dương Province,107305
Hậu Giang Province,22364
Khánh Hòa Province,108651
Kiên Giang Province,83879
Kon Tum Province,19360
Lai Châu Province,20517
Long An Province,105348
Lào Cai Province,38915
Lâm Đồng Province,83479
Lạng Sơn Province,47696
Nam Định Province,69861
Nghệ An Province,722469
Ninh Bình Province,59775
Ninh Thuận Province,29119
Phú Thọ Province,69345
Phú Yên Province,42280
Quảng Bình Province,38274
Quảng Nam Province,79285
Quảng Ngãi Province,53622
Quảng Ninh Province,68246
Quảng Trị Province,30740
Sóc Trăng Province,45620
Sơn La Province,45734
Thanh Hóa Province,179654
Thái Bình Province,81194
Thái Nguyên Province,122394
Thừa Thiên–Huế Province,112736
Tiền Giang Province,66589
Trà Vinh Province,34974
Tuyên Quang Province,34618
Tây Ninh Province,77182
Vĩnh Long Province,28747
Vĩnh Phúc Province,55845
Yên Bái Province,90532
Điện Biên Province,32291
Đắk Lắk Province,84020
Đắk Nông Province,31435
Đồng Nai Province,199660
Đồng Tháp Province,74841
