Location name,Amount spent (ARS)
Buenos Aires,1449916
Catamarca,176643
Chaco,120802
Chubut,50890
Ciudad Autónoma de Buenos Aires,692460
Corrientes,87428
Córdoba,3716306
Entre Rios,135730
Formosa,48173
Jujuy,26023
La Pampa,29311
La Rioja,44139
Mendoza,180065
Misiones,39243
Neuquén,36308
Río Negro,38642
Salta,108840
San Juan,263477
San Luis,242404
Santa Cruz,48841
Santa Fe,620235
Santiago del Estero,34349
Tierra del Fuego,50361
Tucuman,112039
Unknown,≤100
