Location name,Amount spent (PLN)
Greater Poland Voivodeship,3676
Kuyavian-Pomeranian Voivodeship,2060
Lesser Poland Voivodeship,3313
Lower Silesian Voivodeship,2864
Lublin Voivodeship,1507
Lubusz Voivodeship,874
Masovian Voivodeship,6263
Opole Voivodeship,870
Podkarpackie Voivodeship,1804
Podlaskie Voivodeship,790
Pomeranian Voivodeship,2425
Silesian Voivodeship,4297
Unknown,≤100
Warmian-Masurian Voivodeship,1081
West Pomeranian Voivodeship,1936
Łódź Voivodeship,2545
Świętokrzyskie Voivodeship,913
