Location name,Amount spent (PEN)
Amazonas Region,138
Ancash Region,554
Apurímac Region,220
Arequipa Region,816
Ayacucho Region,442
Cajamarca Region,552
Callao,212
Cusco Region,686
Huancavelica Region,106
Huánuco Region,301
Ica Region,479
Junín Region,594
La Libertad Region,795
Lambayeque Region,545
Lima Region,3765
Loreto Region,313
Madre de Dios Region,195
Moquegua Region,128
Pasco Region,134
Piura Region,752
Puno Region,749
San Martín Region,430
Tacna Region,234
Tumbes Region,122
Ucayali Region,285
Unknown,≤100
