Location name,Amount spent (ZAR)
Eastern Cape,3948
Free State,2176
Gauteng,17945
KwaZulu-Natal,5944
Limpopo,3001
Mpumalanga,2957
North West,1996
Northern Cape,761
Unknown,≤100
Western Cape,15160
