Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,411
Bangkok,8115
Bueng Kan,≤100
Buriram,243
Chachoengsao,124
Chai Nat,229
Chaiyaphum,106
Chanthaburi,≤100
Chiang Mai,335
Chiang Rai,149
Chon Buri,404
Chumphon,154
Kalasin,102
Kamphaeng Phet,≤100
Kanchanaburi,177
Khon Kaen,425
Krabi,235
Lampang,102
Lamphun,≤100
Loei,≤100
Lop Buri,103
Mae Hong Son,≤100
Maha Sarakham,154
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,266
Nakhon Phanom,≤100
Nakhon Ratchasima,368
Nakhon Sawan,148
Nakhon Si Thammarat,1364
Nan,≤100
Narathiwat,≤100
Nong Bua Lam Phu,≤100
Nong Khai,≤100
Nonthaburi,559
Pathum Thani,398
Pattani,245
Phangnga,116
Phatthalung,308
Phayao,≤100
Phetchabun,105
Phetchaburi,≤100
Phichit,193
Phitsanulok,1889
Phrae,≤100
Phuket,887
Prachin Buri,≤100
Prachuap Khiri Khan,124
Ranong,≤100
Ratchaburi,127
Rayong,145
Roi Et,147
Sa Kaeo,≤100
Sakon Nakhon,114
Samut Prakan,279
Samut Sakhon,221
Samut Songkhram,449
Saraburi,116
Satun,160
Sing Buri,≤100
Sisaket,149
Songkhla,1774
Sukhothai,≤100
Suphan Buri,455
Surat Thani,4438
Surin,158
Tak,195
Trang,191
Trat,≤100
Ubon Ratchathani,317
Udon Thani,168
Uthai Thani,≤100
Uttaradit,≤100
Yala Province,≤100
Yasothon,≤100
