Page ID,Page name,Disclaimer,Amount spent (QAR),Number of ads in Library
1534982756793690,Foodvisor,These ads ran without a disclaimer,≤100,2
112462961647177,Msheirebqa,These ads ran without a disclaimer,≤100,1
489179047956298,Allwork.Space,These ads ran without a disclaimer,≤100,1
157219929419666,Asean+3 Macroeconomic Research Office,These ads ran without a disclaimer,≤100,1
127187187348820,Kaspersky,These ads ran without a disclaimer,≤100,2
105304415266997,econ.mo,These ads ran without a disclaimer,≤100,1
107219538605414,Rise Luxury Real Estate - Dubai,These ads ran without a disclaimer,≤100,1
19740928752,World Animal Protection,These ads ran without a disclaimer,≤100,1
75608370019,United States Institute of Peace,These ads ran without a disclaimer,≤100,1
110919974897108,SH,These ads ran without a disclaimer,≤100,1
103193692690093,Green Feed,These ads ran without a disclaimer,≤100,1
