Location name,Amount spent (INR)
Andaman and Nicobar Islands,162
Andhra Pradesh,70170
Arunachal Pradesh,940
Assam,16646
Bihar,44704
Chandigarh,2294
Chhattisgarh,24504
Dadra and Nagar Haveli,788
Delhi,101886
Goa,5005
Gujarat,92976
Haryana,67338
Himachal Pradesh,14211
Jammu and Kashmir,12323
Jharkhand,14158
Karnataka,413976
Kerala,13797
Lakshadweep,≤100
Madhya Pradesh,57395
Maharashtra,267637
Manipur,2180
Meghalaya,1862
Mizoram,583
Nagaland,2163
Odisha,12706
Puducherry,932
Punjab region,31259
Rajasthan,125043
Sikkim,664
Tamil Nadu,69013
Telangana,88167
Tripura,1873
Unknown,≤100
Uttar Pradesh,124539
Uttarakhand,11406
West Bengal,137074
