Location name,Amount spent (PKR)
Azad Kashmir,2723
Balochistan,4671
Federally Administered Tribal Areas,814
Gilgit-Baltistan,1454
Islamabad Capital Territory,5497
Khyber Pakhtunkhwa,28296
Punjab,84355
Sindh,37246
Unknown,≤100
