Location name,Amount spent (TRY)
Adana Province,2321
Adıyaman Province,234
Afyonkarahisar Province,757
Aksaray Province,410
Amasya Province,225
Ankara Province,7442
Antalya Province,3813
Ardahan Province,≤100
Artvin Province,153
Aydın Province,1139
Ağrı Province,140
Balıkesir Province,1046
Bartın Province,169
Batman Province,283
Bayburt Province,≤100
Bilecik Province,172
Bingöl Province,112
Bitlis Province,108
Bolu Province,307
Burdur Province,198
Bursa Province,3030
Denizli Province,1145
Diyarbakır Province,589
Düzce Province,821
Edirne Province,620
Elazığ Province,368
Erzincan Province,151
Erzurum Province,412
Eskişehir Province,1169
Gaziantep Province,2213
Giresun Province,415
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,1204
Isparta Province,436
Istanbul Province,17648
Iğdır Province,≤100
Kahramanmaraş Province,673
Karabük Province,229
Karaman Province,264
Kars Province,101
Kastamonu Province,257
Kayseri Province,1334
Kilis Province,102
Kocaeli Province,1387
Konya Province,2098
Kütahya Province,472
Kırklareli Province,237
Kırıkkale Province,339
Kırşehir Province,896
Malatya Province,538
Manisa Province,1169
Mardin Province,395
Mersin Province,1902
Muğla Province,834
Muş Province,≤100
Nevşehir Province,350
Niğde Province,296
Ordu Province,706
Osmaniye Province,485
Rize Province,327
Sakarya Province,801
Samsun Province,2001
Siirt Province,≤100
Sinop Province,153
Sivas Province,438
Tekirdağ Province,1050
Tokat Province,384
Trabzon Province,1191
Tunceli Province,≤100
Unknown,≤100
Uşak Province,341
Van Province,321
Yalova Province,319
Yozgat Province,320
Zonguldak Province,1091
Çanakkale Province,601
Çankırı Province,248
Çorum Province,432
İzmir Province,5016
Şanlıurfa Province,1282
Şırnak Province,168
