Location name,Amount spent (JPY)
Aichi Prefecture,9877
Akita Prefecture,1129
Aomori Prefecture,1250
Chiba Prefecture,7291
Ehime Prefecture,1745
Fukui Prefecture,1024
Fukuoka Prefecture,34109
Fukushima Prefecture,1901
Gifu Prefecture,2515
Gunma Prefecture,2151
Hiroshima Prefecture,3227
Hokkaido,7640
Hyōgo Prefecture,7802
Ibaraki Prefecture,5366
Ishikawa Prefecture,1468
Iwate Prefecture,1211
Kagawa Prefecture,1426
Kagoshima Prefecture,2351
Kanagawa Prefecture,36757
Kumamoto Prefecture,4339
Kyoto Prefecture,4759
Kōchi Prefecture,705
Mie Prefecture,2195
Miyagi Prefecture,7367
Miyazaki Prefecture,1890
Nagano Prefecture,3272
Nagasaki Prefecture,3282
Nara Prefecture,2447
Niigata Prefecture,2657
Okayama Prefecture,2437
Okinawa Prefecture,3757
Osaka Prefecture,17288
Saga Prefecture,2196
Saitama Prefecture,9695
Shiga Prefecture,2220
Shimane Prefecture,992
Shizuoka Prefecture,4752
Tochigi Prefecture,2493
Tokushima Prefecture,1218
Tokyo,47273
Tottori Prefecture,694
Toyama Prefecture,1218
Unknown,≤100
Wakayama Prefecture,1267
Yamagata Prefecture,1477
Yamaguchi Prefecture,1693
Yamanashi Prefecture,1035
Ōita Prefecture,3038
